# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
14,0.23867424086739861,0.23478193976868972,-0.0038923010987087078,0.00411932674477666,-0.016442075351004615,-0.94488768186310479,0.0070655899942629616,0.0026082871258087323,-0.0044573028684542311,0.0027725399894140425,-1.6076604433021187,256
15,0.24037816589990438,0.2354334197892026,-0.0049447461107018477,0.0042664209893628017,-0.020784471246283277,-1.158991605148735,0.0052389151265039031,0.0044232736947475504,-0.00081564143175635352,0.0027692278174850176,-0.29453749763972475,256
16,0.24084717021648566,0.23570764937598734,-0.0051395208404987104,0.0043608597389960197,-0.021569484261616676,-1.1785567865298869,0.0035907708235630655,0.0016016612422996954,-0.0019891095812633697,0.0026485844472276848,-0.75100855604034145,256
17,0.2430447706506341,0.23812166750284941,-0.00492310314778474,0.0045241517210418761,-0.020463202573635687,-1.0881825923050583,0.0042300204124558717,0.0013966454978691508,-0.0028333749145867219,0.0029958705143251375,-0.9457601391777708,256
18,0.24402424026292899,0.23844831890434021,-0.0055759213585887587,0.0045972759116740631,-0.023113941933661904,-1.212875073351499,0.0062743135412464783,-2.7628238848960115e-05,-0.006301941780095432,0.0029062649810176655,-2.1683988972983212,256
19,0.24246873192698215,0.24062435035140137,-0.0018443815755806387,0.0046386158394666728,-0.0076357192567614099,-0.3976146418265793,0.0043789043653866154,0.0034550031129699267,-0.00092390125241668616,0.0028533495602625124,-0.32379532647646786,256
20,0.24144126608044034,0.24294812327012275,0.0015068571896821995,0.0054163190362005349,0.0062216771168439218,0.27820687437556058,0.0052660363948967628,0.0065311709073806942,0.0012651345124839333,0.0030935002922393663,0.40896537674742228,256
21,0.24200382931084377,0.23878245456051347,-0.0032213747503302228,0.0051438207893238132,-0.01340044364157509,-0.62626107756636917,0.0065739401257628163,0.0052923192631308541,-0.0012816208626319592,0.0028263199826756504,-0.45345922276594486,256
22,0.24363761956004681,0.24233807067137481,-0.0012995488886719869,0.0049679107522499853,-0.0053482053312302177,-0.26158861410370876,4.9477475111821604e-05,0.0068337789026092942,0.0067843014274974658,0.0031432790454762765,2.1583516224120323,256
23,0.2426320449218822,0.24611172677662244,0.0034796818547403159,0.0051242488644562935,0.014239288789901371,0.67906183848264878,0.0035078201274160656,0.0037495903285185064,0.00024177020110244181,0.0029152178532662397,0.082933836602146219,256
