theta1,theta3,pdf,log_pdf
0.314159,-0.10472,0.0127644,-4.36109
0.314159,0.10472,0.0127738,-4.36036
0.314159,0.314159,0.0129007,-4.35047
0.314159,0.523599,0.0131267,-4.33311
0.314159,0.733038,0.0135093,-4.30438
0.314159,0.942478,0.0139922,-4.26926
0.314159,1.15192,0.0146355,-4.2243
0.314159,1.36136,0.0154283,-4.17155
0.314159,1.5708,0.0163848,-4.1114
0.314159,1.78024,0.0175649,-4.04185
0.314159,1.98968,0.0189253,-3.96726
0.314159,2.19911,0.0204367,-3.89042
0.314159,2.40855,0.0220412,-3.81484
0.314159,2.61799,0.0236282,-3.74531
0.314159,2.82743,0.0249191,-3.69212
0.314159,3.03687,0.02569,-3.66165
0.523599,-3.03687,0.0263016,-3.63812
0.523599,-2.82743,0.0256143,-3.66461
0.523599,-2.61799,0.0243823,-3.7139
0.523599,-2.40855,0.022838,-3.77933
0.523599,-2.19911,0.0212228,-3.85268
0.523599,-1.98968,0.0195559,-3.93448
0.523599,-1.78024,0.0180279,-4.01584
0.523599,-1.5708,0.0167347,-4.09027
0.523599,-1.36136,0.0156848,-4.15506
0.523599,-1.15192,0.0148527,-4.20957
0.523599,-0.942478,0.0141956,-4.25483
0.523599,-0.733038,0.0136831,-4.2916
0.523599,-0.523599,0.0133143,-4.31891
0.523599,-0.314159,0.0130882,-4.33604
0.523599,-0.10472,0.0129927,-4.34337
0.523599,0.10472,0.0130011,-4.34272
0.523599,0.314159,0.013125,-4.33323
0.523599,0.523599,0.0133748,-4.31438
0.523599,0.733038,0.01376,-4.28599
0.523599,0.942478,0.0142613,-4.25021
0.523599,1.15192,0.0149197,-4.20507
0.523599,1.36136,0.0157403,-4.15153
0.523599,1.5708,0.0167214,-4.09107
0.523599,1.78024,0.0179084,-4.02249
0.523599,1.98968,0.0193081,-3.94723
0.523599,2.19911,0.0208601,-3.86992
0.523599,2.40855,0.0224911,-3.79464
0.523599,2.61799,0.0241069,-3.72526
0.523599,2.82743,0.0254279,-3.67191
0.523599,3.03687,0.0262266,-3.64098
0.733038,-3.03687,0.0271225,-3.60739
0.733038,-2.82743,0.0264227,-3.63353
0.733038,-2.61799,0.0251286,-3.68375
0.733038,-2.40855,0.0235275,-3.74958
0.733038,-2.19911,0.0218444,-3.82381
0.733038,-1.98968,0.020136,-3.90525
0.733038,-1.78024,0.0185578,-3.98687
0.733038,-1.5708,0.0172181,-4.06179
0.733038,-1.36136,0.016137,-4.12664
0.733038,-1.15192,0.015264,-4.18226
0.733038,-0.942478,0.0145749,-4.22846
0.733038,-0.733038,0.0140625,-4.26424
0.733038,-0.523599,0.0136871,-4.2913
0.733038,-0.314159,0.0134536,-4.30851
0.733038,-0.10472,0.0133428,-4.31678
0.733038,0.10472,0.0133531,-4.316
0.733038,0.314159,0.0134733,-4.30704
0.733038,0.523599,0.0137416,-4.28732
0.733038,0.733038,0.0141423,-4.25858
0.733038,0.942478,0.0146853,-4.22091
0.733038,1.15192,0.0153669,-4.17554
0.733038,1.36136,0.0162173,-4.12167
0.733038,1.5708,0.0172493,-4.05999
0.733038,1.78024,0.0184741,-3.99139
0.733038,1.98968,0.0198932,-3.91738
