timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I3,42,-1.2627762441904813,-1.3226028717667937,-1.2029496166141689,0.14080613899788527,0.14168447365165035,0.141429488450997,0.1419556083014908
coarse,log_I3,43,-1.1431229890378565,-1.2029496166141689,-1.083296361461544,0.1559136333374532,0.15622729810610744,0.155949789108945,0.156504759950615
coarse,log_I3,44,-1.0234697338852317,-1.083296361461544,-0.9636431063089193,0.17032240933496937,0.17184311945433547,0.17153819670985998,0.17211922496525636
coarse,log_I3,45,-0.9038164787326068,-0.9636431063089193,-0.8439898511562944,0.18830851856688524,0.18764766814484646,0.1873158542914028,0.18792185057238525
coarse,log_I3,46,-0.784163223579982,-0.8439898511562944,-0.7243365960036696,0.20687820154515896,0.2053109203971243,0.20495811735039712,0.20557386392547186
coarse,log_I3,47,-0.6645099684273572,-0.7243365960036696,-0.6046833408510448,0.22614136902022555,0.2240755194136875,0.22370458796348006,0.22432771757800765
coarse,log_I3,48,-0.5448567132747324,-0.6046833408510448,-0.48503008569842,0.24391550751915944,0.24278734497288265,0.24240686108244255,0.24300762798899314
coarse,log_I3,49,-0.4252034581221076,-0.48503008569842,-0.3653768305457952,0.2647514454944998,0.2620063848413668,0.26160184896098465,0.26220916025136565
coarse,log_I3,50,-0.30555020296948276,-0.3653768305457952,-0.24572357539317036,0.2829861623762093,0.28092911696007067,0.28053362795583325,0.2811611124009807
coarse,log_I3,51,-0.18589694781685795,-0.24572357539317036,-0.12607032024054554,0.30185679145686484,0.30065447636406933,0.3002515479605361,0.3009210915103709
coarse,log_I3,52,-0.06624369266423313,-0.12607032024054554,-0.006417065087920726,0.31922792387087,0.31860552822086846,0.31821226622118015,0.31891656754292996
coarse,log_I3,53,0.05340956248839168,-0.006417065087920726,0.11323619006470409,0.33480384736110186,0.33378143892180767,0.33341746059031235,0.3341171470465504
coarse,log_I3,54,0.1730628176410165,0.11323619006470409,0.2328894452173289,0.35090053845458574,0.3492694188814503,0.3489495673671113,0.3496187953580676
coarse,log_I3,55,0.29271607279364087,0.2328894452173289,0.35254270036995283,0.3607741875353419,0.35992579311662837,0.3596465873259472,0.3602968114930399
coarse,log_I3,56,0.41236932794626524,0.35254270036995283,0.47219595552257765,0.3687531846324018,0.36709007541245886,0.36688728674658344,0.3674630967586148
coarse,log_I3,57,0.5320225830988901,0.47219595552257765,0.5918492106752025,0.37379076069401074,0.3713156095558534,0.3710315917874764,0.3716885512602404
coarse,log_I3,58,0.6516758382515149,0.5918492106752025,0.7115024658278273,0.3710665442367978,0.3696391930828738,0.3692677532919701,0.3699788190927138
coarse,log_I3,59,0.7713290934041397,0.7115024658278273,0.8311557209804521,0.36439077460917996,0.3611444067436611,0.3606670227216214,0.36145159605702654
coarse,log_I3,60,0.8909823485567645,0.8311557209804521,0.9508089761330769,0.34965226636035845,0.3489210815637889,0.3483853642703937,0.34923553948867875
coarse,log_I3,61,1.0106356037093893,0.9508089761330769,1.0704622312857017,0.32921933446994683,0.33257455008329534,0.3319794816914257,0.33303236641922523
coarse,log_I3,62,1.1302888588620141,1.0704622312857017,1.1901154864383265,0.30348451733235615,0.3079539762015255,0.30737366284689377,0.30851374113003543
coarse,log_I3,63,1.249942114014639,1.1901154864383265,1.3097687415909514,0.2701946445636668,0.2760671170558217,0.27554353574627305,0.27672621992105984
coarse,log_I3,64,1.3695953691672638,1.3097687415909514,1.4294219967435762,0.2366692487583308,0.24104586328555078,0.24062406958860966,0.24176197469040225
coarse,log_I3,65,1.4892486243198886,1.4294219967435762,1.549075251896201,0.19718250320320516,0.20039015477327493,0.19999060721383394,0.20112944992147733
coarse,log_I3,66,1.608901879472513,1.549075251896201,1.668728507048825,0.15771930995174535,0.16105168378811396,0.16059327992741732,0.16181474888833766
coarse,log_I3,67,1.7285551346251378,1.668728507048825,1.7883817622014506,0.116981675379761,0.11994336550764255,0.11943500872353344,0.12069018246617269
coarse,log_I3,68,1.8482083897777626,1.7883817622014506,1.9080350173540745,0.0815354583644416,0.08284225857167234,0.08235823673872475,0.08354874336892693
coarse,log_I3,69,1.9678616449303874,1.9080350173540745,2.0276882725067003,0.052694354065743534,0.053747802466550844,0.053296749496526574,0.05434860440557718
coarse,log_I3,70,2.087514900083012,2.0276882725067003,2.147341527659324,0.029840768743130835,0.029886882656019978,0.029485440067520397,0.030327993100750395
