I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.036872898470133,-1.1519173063162575,-6.846790367388969,0.0010628616194119835
1.0,-3.036872898470133,-1.0995574287564276,-6.8578039450814545,0.0010512199363573276
1.0,-3.036872898470133,-1.0471975511965979,-6.868653611564565,0.0010398761998039509
1.0,-3.036872898470133,-0.9948376736367681,-6.879295113992408,0.0010288690250100149
1.0,-3.036872898470133,-0.9424777960769379,-6.889685323896805,0.001018234204559046
1.0,-3.036872898470133,-0.8901179185171082,-6.899782646492411,0.001008004498553312
1.0,-3.036872898470133,-0.8377580409572785,-6.909547347106913,0.0009982095366705289
1.0,-3.036872898470133,-0.7853981633974483,-6.918941797610494,0.0009888758178120466
1.0,-3.036872898470133,-0.7330382858376185,-6.927930647641863,0.0009800267922508684
1.0,-3.036872898470133,-0.6806784082777888,-6.936480927009709,0.0009716830110517987
1.0,-3.036872898470133,-0.6283185307179586,-6.9445620871267515,0.0009638623277144775
1.0,-3.036872898470133,-0.5759586531581289,-6.952145990784015,0.0009565801373007405
1.0,-3.036872898470133,-0.5235987755982991,-6.959206860917428,0.0009498496387301188
1.0,-3.036872898470133,-0.47123889803846897,-6.965721200072791,0.0009436821065457826
1.0,-3.036872898470133,-0.41887902047863923,-6.971667692816687,0.0009380871593897926
1.0,-3.036872898470133,-0.3665191429188095,-6.977027103181915,0.0009330730137781396
1.0,-3.036872898470133,-0.3141592653589793,-6.981782178277687,0.0009286467135629033
1.0,-3.036872898470133,-0.2617993877991496,-6.985917567457929,0.0009248143276565828
1.0,-3.036872898470133,-0.20943951023931984,-6.989419764065346,0.000921581111040624
1.0,-3.036872898470133,-0.15707963267948966,-6.992277073986682,0.0009189516266036903
1.0,-3.036872898470133,-0.10471975511965992,-6.994479612346438,0.0009169298277574349
1.0,-3.036872898470133,-0.05235987755983018,-6.996019326911049,0.0009155191038816621
1.0,-3.036872898470133,0.0,-6.9968900444064,0.0009147222923298054
1.0,-3.036872898470133,0.05235987755982974,-6.997087534126603,0.0009145416619171416
1.0,-3.036872898470133,0.10471975511965947,-6.996609582004812,0.000914978873519705
1.0,-3.036872898470133,0.15707963267948966,-6.995456067724758,0.0009160349236836317
1.0,-3.036872898470133,0.2094395102393194,-6.993629037417126,0.0009177100770640721
1.0,-3.036872898470133,0.26179938779914913,-6.991132764922724,0.0009200037931664069
1.0,-3.036872898470133,0.3141592653589793,-6.9879737954253605,0.0009229146523234792
1.0,-3.036872898470133,0.36651914291880905,-6.984160966383348,0.000926440285159587
1.0,-3.036872898470133,0.4188790204786388,-6.97970540205774,0.0009305773089878088
1.0,-3.036872898470133,0.47123889803846897,-6.974620479496416,0.0009353212736660175
1.0,-3.036872898470133,0.5235987755982987,-6.968921765535448,0.000940666618395583
1.0,-3.036872898470133,0.5759586531581284,-6.9626269261616125,0.0009466066397885514
1.0,-3.036872898470133,0.6283185307179586,-6.95575561136231,0.0009531334702747844
1.0,-3.036872898470133,0.6806784082777884,-6.9483293202701,0.000960238064616226
1.0,-3.036872898470133,0.7330382858376181,-6.940371252866963,0.0009679101910168718
1.0,-3.036872898470133,0.7853981633974483,-6.931906155614818,0.000976138422168894
1.0,-3.036872898470133,0.837758040957278,-6.92296016898667,0.0009849101206893373
1.0,-3.036872898470133,0.8901179185171078,-6.913560684861193,0.0009942114129272493
1.0,-3.036872898470133,0.9424777960769379,-6.903736221015636,0.0010040271452107078
1.0,-3.036872898470133,0.9948376736367672,-6.893516318462575,0.0010143408173890244
1.0,-3.036872898470133,1.0471975511965974,-6.882931465160657,0.0010251344900843258
1.0,-3.036872898470133,1.0995574287564276,-6.872013046829201,0.0010363886643821854
1.0,-3.036872898470133,1.1519173063162569,-6.860793322474258,0.001048082135616729
1.0,-3.036872898470133,1.204277183876087,-6.849305419164368,0.0010601918261505306
1.0,-3.036872898470133,1.2566370614359172,-6.8375833380228475,0.0010726926051943075
1.0,-3.036872898470133,1.3089969389957465,-6.825661961767097,0.0010855571062690485
1.0,-3.036872898470133,1.3613568165555767,-6.813577053755009,0.0010987555544258933
1.0,-3.036872898470133,1.413716694115407,-6.80136523952227,0.001112255615492873
1.0,-3.036872898470133,1.4660765716752362,-6.789063964077565,0.0011260222783410346
1.0,-3.036872898470133,1.5184364492350664,-6.776711421366825,0.0011400177786767861
1.0,-3.036872898470133,1.5707963267948966,-6.764346455728397,0.0011542015696657578
