case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
equilibrium,direct_trajectory,middle,theta1,circular_resultant,0.18086536339285317,0.1739133908758166,0.18792355336995117,,
equilibrium,direct_trajectory,middle,theta1,histogram_mode,3.0106929596902186,2.923426497090502,-3.097959422289935,,
equilibrium,direct_trajectory,middle,theta1,prob_within_pi_over_6_of_theta0,0.19325465672723113,0.19119666938424554,0.19516406809387032,,
equilibrium,direct_trajectory,middle,theta3,circular_mean,-3.1292749108237805,3.1203447183673862,-3.10082637525583,,
equilibrium,direct_trajectory,middle,theta3,circular_resultant,0.18963643121714877,0.17829742125844306,0.19941307776368486,,
equilibrium,direct_trajectory,middle,theta3,histogram_mode,-3.097959422289935,3.097959422289935,-2.923426497090502,,
equilibrium,direct_trajectory,middle,theta3,prob_within_pi_over_6_of_theta0,0.1935139463499266,0.19145715974638705,0.19563414238651256,,
equilibrium,direct_trajectory,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18703742540656995,0.18328717879467052,0.19036346043533153,,
equilibrium,direct_trajectory,middle,joint,prob_both_within_pi_over_6_of_theta0,0.03698308897828449,0.035854903670245394,0.03810881349059934,,
equilibrium,direct_trajectory,high,theta1,circular_mean,-3.1356106442623894,3.114533559907141,-3.1035999790207023,,
equilibrium,direct_trajectory,high,theta1,circular_resultant,0.17809952820658653,0.16393729691242673,0.1907127739197027,,
equilibrium,direct_trajectory,high,theta1,histogram_mode,3.097959422289935,3.097959422289935,-3.097959422289935,,
equilibrium,direct_trajectory,high,theta1,prob_within_pi_over_6_of_theta0,0.19214828992353383,0.18868334191778574,0.1964578133376774,,
equilibrium,direct_trajectory,high,theta3,circular_mean,-3.134753417321054,3.124858048686626,-3.113500984290021,,
equilibrium,direct_trajectory,high,theta3,circular_resultant,0.18333389223810115,0.17123466999305303,0.1938745453452662,,
equilibrium,direct_trajectory,high,theta3,histogram_mode,3.0106929596902186,2.923426497090502,-2.836160034490786,,
equilibrium,direct_trajectory,high,theta3,prob_within_pi_over_6_of_theta0,0.19490632849535114,0.19241862059009587,0.1970915651006608,,
equilibrium,direct_trajectory,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18862577488852156,0.1858911407461399,0.19121415428620173,,
equilibrium,direct_trajectory,high,joint,prob_both_within_pi_over_6_of_theta0,0.038323778920070564,0.0370962659498399,0.03950681325386455,,
equilibrium,new_seed_8201,low,theta1,circular_mean,3.134463429089351,3.0946139642429085,-3.1113087328237814,,
equilibrium,new_seed_8201,low,theta1,circular_resultant,0.17961772089880781,0.16921386553657064,0.18939468436739365,,
equilibrium,new_seed_8201,low,theta1,histogram_mode,-3.0106929596902186,-3.097959422289935,-2.923426497090502,,
equilibrium,new_seed_8201,low,theta1,prob_within_pi_over_6_of_theta0,0.19242088655602416,0.18890071922702903,0.19587868607182712,,
equilibrium,new_seed_8201,low,theta3,circular_mean,-3.0993148773812726,-3.1215077762491,-3.07345863726582,,
equilibrium,new_seed_8201,low,theta3,circular_resultant,0.18127414866531255,0.1739649985188012,0.18759192141022743,,
equilibrium,new_seed_8201,low,theta3,histogram_mode,3.0106929596902186,3.0106929596902186,-3.097959422289935,,
equilibrium,new_seed_8201,low,theta3,prob_within_pi_over_6_of_theta0,0.18935647319396826,0.1858826548907671,0.19237685039789043,,
equilibrium,new_seed_8201,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18880844382414516,0.18667373810096485,0.19073413671353,,
equilibrium,new_seed_8201,low,joint,prob_both_within_pi_over_6_of_theta0,0.03598030886859432,0.03505198984755893,0.0369372175411596,,
equilibrium,new_seed_8201,middle,theta1,circular_mean,3.120917809149868,3.081836082317084,-3.1290502662918724,,
equilibrium,new_seed_8201,middle,theta1,circular_resultant,0.18068265445606058,0.17383644029408538,0.18900074153537516,,
equilibrium,new_seed_8201,middle,theta1,histogram_mode,3.097959422289935,3.097959422289935,-3.097959422289935,,
equilibrium,new_seed_8201,middle,theta1,prob_within_pi_over_6_of_theta0,0.19459015429329196,0.1911854840273087,0.19815130675079373,,
equilibrium,new_seed_8201,middle,theta3,circular_mean,-3.112514450649713,-3.13185628226732,-3.091884620473392,,
equilibrium,new_seed_8201,middle,theta3,circular_resultant,0.18711867258543113,0.17972979490624824,0.19314082609893413,,
equilibrium,new_seed_8201,middle,theta3,histogram_mode,3.0106929596902186,2.923426497090502,-3.0106929596902186,,
