case,source,sector,angle,bin,theta,density
equilibrium,legacy_density,middle,theta1,2,-2.923426497090502,0.22232153245281738
equilibrium,legacy_density,middle,theta1,3,-2.8361600344907854,0.22010765881938693
equilibrium,legacy_density,middle,theta1,4,-2.748893571891069,0.21396752244047837
equilibrium,legacy_density,middle,theta1,5,-2.6616271092913526,0.20942215774344644
equilibrium,legacy_density,middle,theta1,6,-2.574360646691636,0.19937022362432985
equilibrium,legacy_density,middle,theta1,7,-2.4870941840919194,0.19220092910927716
equilibrium,legacy_density,middle,theta1,8,-2.399827721492203,0.1893929730626315
equilibrium,legacy_density,middle,theta1,9,-2.3125612588924866,0.18457061369244296
equilibrium,legacy_density,middle,theta1,10,-2.2252947962927703,0.18191863878461606
equilibrium,legacy_density,middle,theta1,11,-2.138028333693054,0.17515304873846393
equilibrium,legacy_density,middle,theta1,12,-2.0507618710933375,0.1689018720775188
equilibrium,legacy_density,middle,theta1,13,-1.9634954084936207,0.16845009493965077
equilibrium,legacy_density,middle,theta1,14,-1.8762289458939043,0.16608178101427387
equilibrium,legacy_density,middle,theta1,15,-1.7889624832941877,0.15699345971660994
equilibrium,legacy_density,middle,theta1,16,-1.7016960206944713,0.1565655183973482
equilibrium,legacy_density,middle,theta1,17,-1.6144295580947547,0.15003994406942742
equilibrium,legacy_density,middle,theta1,18,-1.5271630954950384,0.1456738443702534
equilibrium,legacy_density,middle,theta1,19,-1.439896632895322,0.14399302564718924
equilibrium,legacy_density,middle,theta1,20,-1.3526301702956054,0.13952501312436208
equilibrium,legacy_density,middle,theta1,21,-1.2653637076958888,0.1340057995069532
equilibrium,legacy_density,middle,theta1,22,-1.1780972450961724,0.12994567521997843
equilibrium,legacy_density,middle,theta1,23,-1.090830782496456,0.13006676458587066
equilibrium,legacy_density,middle,theta1,24,-1.0035643198967397,0.12719293239666785
equilibrium,legacy_density,middle,theta1,25,-0.9162978572970231,0.12828703288853963
equilibrium,legacy_density,middle,theta1,26,-0.8290313946973065,0.12230771443704119
equilibrium,legacy_density,middle,theta1,27,-0.7417649320975901,0.12131993794123508
equilibrium,legacy_density,middle,theta1,28,-0.6544984694978737,0.11993494933751123
