affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,5,30,20.18176116538916,27594,16501,0.5141773726551738,0.009840840919415183
weak,weak_dt5e4,0.0005,5,31,20.8544865375688,25483,15249,0.5134976360438015,0.010238159902997257
weak,weak_dt5e4,0.0005,5,32,21.527211909748438,23682,13970,0.5278030926398947,0.010668089082705518
weak,weak_dt5e4,0.0005,5,33,22.199937281928076,22158,12745,0.5530595672704024,0.011117219479272496
weak,weak_dt5e4,0.0005,5,34,22.872662654107714,20341,11702,0.5528787862543056,0.011602468235328246
weak,weak_dt5e4,0.0005,5,35,23.545388026287355,19079,10619,0.5859434043234651,0.01210720753899164
weak,weak_dt5e4,0.0005,5,36,24.218113398466993,17607,9680,0.5982346489558215,0.012653117314953511
weak,weak_dt5e4,0.0005,5,37,24.89083877064663,16239,8840,0.6081288798333985,0.013217500463644788
weak,weak_dt5e4,0.0005,5,38,25.56356414282627,15263,8052,0.6395110911554399,0.013773549516898489
weak,weak_dt5e4,0.0005,5,39,26.236289515005907,14159,7299,0.6626131118333386,0.014409424896859304
weak,weak_dt5e4,0.0005,5,40,26.90901488718555,12721,6376,0.6907132296861599,0.015344325178796995
weak,weak_dt5e4,0.0005,5,41,27.581740259365187,12035,6067,0.6849548222748745,0.015745383230767906
weak,weak_dt5e4,0.0005,5,42,28.254465631544825,11032,5469,0.7017043561263651,0.016537659425369396
weak,weak_dt5e4,0.0005,5,43,28.927191003724463,10138,4950,0.7169031634695587,0.017339520950429215
weak,weak_dt5e4,0.0005,5,44,29.5999163759041,9251,4461,0.7293586976430539,0.01822803904531992
weak,weak_dt5e4,0.0005,5,45,30.27264174808374,8473,3889,0.7787325820427167,0.01936898196852575
weak,weak_dt5e4,0.0005,5,46,30.94536712026338,7897,3628,0.7778014082625537,0.020056528215655768
weak,weak_dt5e4,0.0005,5,47,31.61809249244302,7200,3308,0.7777372488605648,0.021004436426389043
weak,weak_dt5e4,0.0005,5,48,32.29081786462265,6705,2964,0.8163138092998014,0.022057296918500925
weak,weak_dt5e4,0.0005,5,49,32.963543236802295,6204,2708,0.8289838902642639,0.02303177261980977
weak,weak_dt5e4,0.0005,5,50,33.636268608981936,5544,2355,0.856175534419221,0.024596821552414806
weak,weak_dt5e4,0.0005,5,51,34.30899398116157,5233,2161,0.8844136498653219,0.025570367647790637
weak,weak_dt5e4,0.0005,5,52,34.98171935334121,4893,1853,0.9709996650037639,0.027277078332895506
weak,weak_dt5e4,0.0005,5,53,35.65444472552085,4296,1726,0.9118777645453274,0.028498227136045
weak,weak_dt5e4,0.0005,5,54,36.32717009770049,3932,1528,0.9451885115405915,0.030145874697401927
weak,weak_dt5e4,0.0005,5,55,36.99989546988013,3758,1458,0.9468212674048072,0.03085401181475869
weak,weak_dt5e4,0.0005,5,56,37.672620842059764,3380,1231,1.010048862292611,0.03328972323367647
weak,weak_dt5e4,0.0005,5,57,38.345346214239406,3114,1207,0.9477701312964121,0.033906205821118564
weak,weak_dt5e4,0.0005,5,58,39.01807158641904,2857,1050,1.000981959079204,0.0360887579899336
weak,weak_dt5e4,0.0005,5,59,39.69079695859868,2528,914,1.017353183812598,0.03859613353657432
weak,weak_dt5e4,0.0005,5,60,40.36352233077832,2432,821,1.0859461336336294,0.04036348606247781
weak,weak_dt5e4,0.0005,5,61,41.03624770295796,2132,743,1.054119740567976,0.04260209117119025
weak,weak_dt5e4,0.0005,5,62,41.7089730751376,1965,685,1.0538286860411363,0.04437070956178009
weak,weak_dt5e4,0.0005,5,63,42.381698447317234,1777,619,1.0545765554700552,0.046671780411315034
weak,weak_dt5e4,0.0005,5,64,43.054423819496876,1733,572,1.1084702983358081,0.048221217251956675
weak,weak_dt5e4,0.0005,5,65,43.72714919167652,1534,488,1.1453185760740543,0.05197182708225495
weak,weak_dt5e4,0.0005,5,66,44.39987456385615,1352,436,1.1316980132538752,0.05507470337700946
weak,weak_dt5e4,0.0005,5,67,45.07259993603579,1219,407,1.0969729440386764,0.0572481178879379
weak,weak_dt5e4,0.0005,5,68,45.74532530821543,1140,338,1.2157376459055222,0.0619336165915809
weak,weak_dt5e4,0.0005,5,69,46.41805068039507,1069,303,1.2607461055156761,0.06508289889091753
weak,weak_dt5e4,0.0005,5,70,47.09077605257471,950,300,1.1526795099383853,0.06622661785325219
weak,weak_dt5e4,0.0005,5,71,47.763501424754345,835,247,1.2180433882228783,0.07243057218033404
